Date,Open,High,Low,Close,Adj Close,Volume
2023-07-03,14000.0,14400.0,13740.0,14200.0,13493.263671875,3372
2023-07-04,14210.0,14390.0,13830.0,13860.0,13170.185546875,2158
2023-07-05,13940.0,14030.0,13250.0,13400.0,12733.080078125,3714
2023-07-06,13400.0,13540.0,13020.0,13540.0,12866.1123046875,5414
2023-07-07,13250.0,13470.0,12900.0,13430.0,13180.16015625,6430
2023-07-10,13400.0,13500.0,12940.0,13370.0,13121.2763671875,1521
2023-07-11,13560.0,13710.0,13210.0,13710.0,13454.951171875,2199
2023-07-12,13800.0,14490.0,13650.0,14430.0,14161.556640625,3353
2023-07-13,14430.0,14640.0,14110.0,14140.0,13876.951171875,3553
2023-07-14,14020.0,14450.0,14020.0,14410.0,14141.9287109375,3196
2023-07-17,14410.0,14660.0,14300.0,14540.0,14269.5107421875,1812
2023-07-18,14500.0,14580.0,14240.0,14460.0,14190.998046875,1075
2023-07-19,14530.0,14530.0,14070.0,14420.0,14151.7421875,1250
2023-07-20,14380.0,14380.0,14020.0,14060.0,13798.439453125,2566
2023-07-21,14060.0,14240.0,14020.0,14180.0,13916.20703125,2825
2023-07-24,14240.0,14550.0,14160.0,14450.0,14181.1845703125,1110
2023-07-25,14460.0,14460.0,14150.0,14320.0,14053.6025390625,1319
2023-07-26,14380.0,14380.0,13760.0,13950.0,13690.486328125,3286
2023-07-27,14020.0,14120.0,13500.0,13720.0,13464.7646484375,5926
2023-07-28,13600.0,13920.0,13160.0,13690.0,13435.3232421875,2150
2023-07-31,13750.0,13940.0,13620.0,13800.0,13543.2763671875,1997
2023-08-01,13810.0,13850.0,13560.0,13820.0,13562.904296875,1273
2023-08-02,13660.0,13880.0,13500.0,13530.0,13278.2998046875,1651
2023-08-03,13500.0,13520.0,12700.0,12970.0,12728.716796875,5148
2023-08-04,13090.0,13760.0,13050.0,13670.0,13415.6953125,2304
2023-08-07,13690.0,13690.0,13430.0,13590.0,13337.18359375,1300
2023-08-08,13580.0,13660.0,13080.0,13110.0,12866.1123046875,2238
2023-08-09,13210.0,13510.0,13080.0,13420.0,13170.345703125,1806
2023-08-10,13390.0,13720.0,13320.0,13650.0,13396.0673828125,1589
2023-08-11,13540.0,13580.0,13300.0,13400.0,13150.7177734375,982
2023-08-14,13300.0,13340.0,13130.0,13180.0,12934.810546875,733
2023-08-16,13080.0,13220.0,12880.0,13120.0,12875.9267578125,1606
2023-08-17,13120.0,13140.0,12820.0,12950.0,12709.0888671875,1745
2023-08-18,12900.0,13010.0,12800.0,12950.0,12709.0888671875,683
2023-08-21,13110.0,13120.0,12600.0,12820.0,12581.5078125,1905
2023-08-22,12930.0,12960.0,12650.0,12740.0,12502.99609375,2324
