Date,Open,High,Low,Close,Adj Close,Volume
2023-07-03,107.0,107.6999969482422,106.0999984741211,107.0,96.16455078125,466654
2023-07-04,107.9499969482422,108.0,105.4499969482422,105.4499969482422,94.77151489257812,169222
2023-07-05,105.0500030517578,105.0500030517578,102.5,102.9000015258789,92.47974395751952,555955
2023-07-06,102.8000030517578,104.8000030517578,101.4000015258789,103.5999984741211,93.10885620117188,720888
2023-07-07,104.5,106.5,104.0999984741211,106.0999984741211,95.3556900024414,360294
2023-07-10,106.0,106.8499984741211,105.25,106.4000015258789,95.62531280517578,304037
2023-07-11,106.9499969482422,107.4499969482422,105.75,106.3000030517578,95.5354461669922,357712
2023-07-12,107.1500015258789,111.3499984741211,106.4000015258789,111.1999969482422,99.9392318725586,596140
2023-07-13,110.6999969482422,113.25,110.1999969482422,112.6999969482422,101.28733825683594,737113
2023-07-14,111.9499969482422,113.8499984741211,111.25,112.1999969482422,100.83796691894533,368836
2023-07-17,111.0500030517578,112.75,110.5999984741211,111.5999984741211,100.2987289428711,353437
2023-07-18,110.1999969482422,114.5500030517578,110.1999969482422,114.4000015258789,102.815185546875,406411
2023-07-19,114.75,115.5,113.8000030517578,114.9499969482422,103.30948638916016,622903
2023-07-20,114.8000030517578,115.6500015258789,113.9000015258789,114.4000015258789,102.815185546875,570366
2023-07-21,114.9499969482422,115.1999969482422,112.6500015258789,112.6999969482422,101.28733825683594,403238
2023-07-24,112.8499984741211,114.5,112.1500015258789,114.1500015258789,102.59050750732422,398113
2023-07-25,114.5,115.1500015258789,113.1500015258789,113.8000030517578,102.27594757080078,482399
2023-07-26,114.0,114.4499969482422,113.3499984741211,114.0,102.45569610595705,448355
2023-07-27,114.3000030517578,117.8499984741211,114.3000030517578,117.6500015258789,105.73607635498048,786323
2023-07-28,116.9000015258789,118.3000030517578,116.4499969482422,118.0500030517578,106.09556579589844,267802
2023-07-31,118.1500015258789,119.5999984741211,118.0500030517578,118.3000030517578,106.32025146484376,502814
2023-08-01,118.8499984741211,119.0,116.3000030517578,117.1999969482422,105.3316421508789,486899
2023-08-02,116.0999984741211,117.0500030517578,114.5500030517578,115.5500030517578,103.8487319946289,536980
2023-08-03,115.5,116.25,113.5999984741211,115.4000015258789,103.71392059326172,383634
2023-08-04,115.9499969482422,118.5,115.5500030517578,117.3499984741211,105.4664535522461,284400
2023-08-07,117.5,118.0999984741211,116.0999984741211,117.25,105.37657928466795,403745
